timestamp,message
1596229736690,"Slope: 1.923886, Current: 144.921341, Previous: 116.063057"
1596229748131,"Number of data points in queue: 0"
1596229756930,", Entering power saving mode. Sleeping for 15 min."
1596230686611,"Slope: -0.031496, Current: 144.448898, Previous: 144.921341"
1596230689730,"Number of data points in queue: 0"
1596230698770,", Entering power saving mode. Sleeping for 15 min."
1596231630616,"Slope: 0.015748, Current: 144.685120, Previous: 144.448898"
1596231634054,"Number of data points in queue: 0"
1596231643653,", Entering power saving mode. Sleeping for 15 min."
1596232573489,"Slope: 0.007874, Current: 144.803223, Previous: 144.685120"
1596232576611,"Number of data points in queue: 0"
1596232585890,", Entering power saving mode. Sleeping for 15 min."
1596233520770,"Slope: -0.060367, Current: 143.897720, Previous: 144.803223"
1596233523890,"Number of data points in queue: 0"
1596233532930,", Entering power saving mode. Sleeping for 15 min."
1596234466850,"Slope: -0.015748, Current: 143.661499, Previous: 143.897720"
1596234469971,"Number of data points in queue: 0"
1596234479970,", Entering power saving mode. Sleeping for 15 min."
1596235409813,"Slope: -0.007875, Current: 143.543381, Previous: 143.661499"
1596235413090,"Number of data points in queue: 0"
1596235422050,", Entering power saving mode. Sleeping for 15 min."
1596236351892,"Slope: 0.007875, Current: 143.661499, Previous: 143.543381"
1596236355090,"Number of data points in queue: 0"
1596236364530,", Entering power saving mode. Sleeping for 15 min."
1596236763529,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596236902012,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596237762882,", Entering power saving mode. Sleeping for 5 min."
1596238364783,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596238365410,"Internal timestamp invalid. Fetching from server."
1596238368377,"Number of data points in queue: 2"
1596238382608,", Entering power saving mode. Sleeping for 15 min."
1596238704928,"Slope: 8.000000, Current: 120.000000, Previous: 0.000000"
1596238713568,"Internal timestamp invalid. Fetching from server."
1596238716608,"Number of data points in queue: 0"
